gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사459467,2023,9.0,11.0,64.0,74.0,44.0,55.0,21.0,20.0,8.0,10.0,6.0,9.0,0.0,0.0,,,,
다사471453,2023,,6.0,9.0,0.0,7.0,0.0,7.0,7.0,0.0,8.0,7.0,8.0,0.0,0.0,,0.0,,
다사456472,2023,0.0,6.0,41.0,40.0,29.0,17.0,10.0,6.0,8.0,0.0,0.0,0.0,,0.0,,,,
다사465438,2023,,,,,,,0.0,,,,,,,,,,,
다사486445,2023,8.0,19.0,18.0,16.0,9.0,6.0,11.0,10.0,11.0,21.0,7.0,9.0,0.0,0.0,,,,
다사472455,2023,19.0,11.0,15.0,9.0,14.0,7.0,17.0,18.0,11.0,11.0,12.0,12.0,0.0,7.0,,,,
다사491463,2023,16.0,14.0,17.0,16.0,9.0,6.0,7.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0,,,,
다사469449,2023,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,
다사489461,2023,42.0,127.0,67.0,76.0,16.0,13.0,10.0,13.0,10.0,8.0,7.0,0.0,0.0,0.0,,0.0,,
다사464488,2023,21.0,26.0,49.0,55.0,28.0,26.0,30.0,36.0,26.0,18.0,14.0,24.0,12.0,12.0,0.0,0.0,,
다사499471,2023,23.0,22.0,37.0,47.0,55.0,49.0,44.0,37.0,19.0,28.0,11.0,20.0,0.0,12.0,0.0,0.0,,
다사482452,2023,12.0,14.0,17.0,19.0,18.0,21.0,25.0,24.0,19.0,22.0,14.0,12.0,0.0,7.0,,0.0,,
다사478457,2023,17.0,15.0,19.0,19.0,21.0,13.0,25.0,19.0,29.0,24.0,27.0,22.0,7.0,12.0,0.0,0.0,,
다사472480,2023,48.0,49.0,101.0,122.0,111.0,99.0,70.0,81.0,62.0,76.0,26.0,33.0,12.0,20.0,0.0,0.0,,
다사459477,2023,24.0,31.0,82.0,96.0,56.0,52.0,27.0,30.0,27.0,39.0,23.0,33.0,14.0,11.0,0.0,0.0,,
다사466440,2023,11.0,0.0,9.0,0.0,11.0,9.0,23.0,23.0,19.0,16.0,15.0,17.0,7.0,16.0,,,,
다사462482,2023,27.0,25.0,50.0,50.0,40.0,49.0,45.0,40.0,25.0,26.0,13.0,16.0,7.0,8.0,,,,
다사488481,2023,0.0,9.0,18.0,19.0,17.0,13.0,11.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,
다사471483,2023,21.0,43.0,70.0,86.0,50.0,65.0,33.0,40.0,43.0,41.0,26.0,28.0,9.0,16.0,0.0,0.0,,
다사465476,2023,18.0,18.0,29.0,34.0,22.0,21.0,33.0,13.0,27.0,12.0,9.0,10.0,0.0,8.0,,0.0,,
다사477461,2023,7.0,10.0,10.0,0.0,10.0,9.0,12.0,18.0,18.0,17.0,10.0,14.0,0.0,9.0,,6.0,,
다사498474,2023,7.0,10.0,10.0,6.0,6.0,7.0,10.0,13.0,16.0,18.0,10.0,11.0,11.0,14.0,0.0,0.0,,
다사486448,2023,21.0,40.0,40.0,42.0,11.0,12.0,8.0,13.0,7.0,8.0,0.0,0.0,0.0,0.0,,0.0,,
다사476475,2023,20.0,32.0,38.0,33.0,9.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
다사474448,2023,0.0,0.0,16.0,10.0,17.0,14.0,27.0,6.0,21.0,17.0,11.0,12.0,0.0,0.0,0.0,0.0,,
다사470481,2023,28.0,50.0,26.0,36.0,33.0,39.0,53.0,53.0,36.0,40.0,22.0,27.0,10.0,10.0,,0.0,,
다사475479,2023,56.0,70.0,43.0,53.0,36.0,34.0,59.0,58.0,45.0,47.0,19.0,21.0,11.0,12.0,0.0,0.0,,
다사467450,2023,30.0,31.0,40.0,25.0,29.0,20.0,39.0,41.0,43.0,28.0,14.0,20.0,7.0,11.0,,,,
다사476447,2023,9.0,8.0,10.0,14.0,6.0,0.0,11.0,16.0,14.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,,
다사465491,2023,16.0,11.0,26.0,30.0,12.0,11.0,19.0,12.0,12.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,,
다사489455,2023,12.0,9.0,13.0,22.0,15.0,13.0,16.0,15.0,14.0,19.0,9.0,14.0,6.0,10.0,,0.0,,
다사475435,2023,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
다사476438,2023,0.0,0.0,7.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
다사470473,2023,34.0,48.0,33.0,38.0,29.0,37.0,56.0,52.0,32.0,40.0,24.0,41.0,15.0,14.0,0.0,0.0,,0.0
다사492467,2023,18.0,23.0,17.0,23.0,20.0,26.0,38.0,34.0,40.0,35.0,25.0,27.0,15.0,16.0,0.0,0.0,0.0,
다사467433,2023,6.0,10.0,6.0,10.0,0.0,9.0,17.0,7.0,10.0,16.0,6.0,9.0,0.0,0.0,,,,
다사479462,2023,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,
다사476451,2023,0.0,8.0,37.0,51.0,40.0,36.0,18.0,16.0,8.0,14.0,6.0,12.0,0.0,7.0,,0.0,,
다사473437,2023,38.0,43.0,33.0,22.0,23.0,21.0,25.0,23.0,29.0,31.0,19.0,31.0,15.0,6.0,,0.0,,
다사482463,2023,14.0,15.0,26.0,19.0,30.0,29.0,27.0,34.0,43.0,42.0,20.0,32.0,11.0,17.0,,0.0,,
다사469452,2023,57.0,39.0,52.0,71.0,51.0,56.0,66.0,73.0,68.0,80.0,35.0,33.0,12.0,18.0,0.0,0.0,,
다사477475,2023,50.0,132.0,127.0,176.0,25.0,29.0,15.0,11.0,10.0,6.0,,0.0,0.0,,,0.0,,
다사476440,2023,0.0,7.0,31.0,37.0,25.0,27.0,14.0,12.0,8.0,13.0,0.0,8.0,0.0,0.0,,0.0,,
다사465492,2023,0.0,13.0,21.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,,,,
다사476453,2023,10.0,0.0,7.0,0.0,0.0,0.0,17.0,14.0,10.0,13.0,0.0,0.0,0.0,8.0,,0.0,,
다사464482,2023,89.0,88.0,100.0,118.0,109.0,114.0,119.0,131.0,77.0,59.0,35.0,40.0,11.0,16.0,0.0,,,
다사467452,2023,22.0,19.0,17.0,9.0,17.0,12.0,16.0,18.0,19.0,15.0,7.0,7.0,0.0,0.0,,0.0,,0.0
다사474485,2023,31.0,24.0,47.0,54.0,37.0,24.0,27.0,51.0,43.0,41.0,30.0,25.0,12.0,13.0,,0.0,0.0,0.0
다사464489,2023,10.0,18.0,12.0,17.0,0.0,8.0,6.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,,
다사472463,2023,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,,
다사474456,2023,6.0,0.0,9.0,6.0,10.0,0.0,9.0,11.0,16.0,15.0,7.0,0.0,0.0,10.0,0.0,,,
다사483457,2023,25.0,15.0,19.0,16.0,25.0,21.0,34.0,34.0,37.0,42.0,22.0,27.0,10.0,14.0,0.0,0.0,,
다사472432,2023,0.0,0.0,9.0,11.0,10.0,0.0,7.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,,,,
다사472434,2023,13.0,11.0,23.0,13.0,8.0,11.0,15.0,9.0,8.0,13.0,12.0,17.0,0.0,6.0,,0.0,,
다사466438,2023,10.0,0.0,6.0,0.0,0.0,7.0,9.0,13.0,18.0,15.0,13.0,17.0,0.0,8.0,,,,0.0
다사487447,2023,12.0,26.0,23.0,21.0,6.0,6.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,
다사475467,2023,6.0,0.0,20.0,12.0,15.0,8.0,15.0,,8.0,0.0,0.0,0.0,0.0,0.0,,,,
다사471442,2023,10.0,0.0,23.0,13.0,10.0,10.0,11.0,14.0,8.0,13.0,6.0,7.0,0.0,0.0,0.0,,,
다사461474,2023,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,,,,
다사477441,2023,15.0,8.0,6.0,9.0,14.0,18.0,15.0,12.0,14.0,12.0,0.0,7.0,0.0,0.0,,,,
다사461470,2023,7.0,8.0,13.0,17.0,14.0,10.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,6.0,,,,
다사473479,2023,20.0,19.0,30.0,41.0,44.0,52.0,39.0,42.0,23.0,20.0,17.0,20.0,9.0,9.0,,0.0,,
다사472442,2023,8.0,0.0,14.0,14.0,16.0,10.0,14.0,11.0,20.0,30.0,21.0,23.0,7.0,13.0,0.0,0.0,,
다사478456,2023,25.0,32.0,30.0,28.0,32.0,16.0,36.0,20.0,27.0,34.0,23.0,27.0,0.0,16.0,0.0,0.0,,
다사483458,2023,18.0,17.0,30.0,25.0,27.0,17.0,25.0,29.0,47.0,41.0,18.0,22.0,8.0,10.0,,6.0,,
다사468471,2023,30.0,54.0,76.0,65.0,36.0,13.0,29.0,16.0,31.0,27.0,18.0,20.0,6.0,8.0,0.0,0.0,,
다사489459,2023,6.0,12.0,32.0,33.0,17.0,16.0,15.0,6.0,19.0,9.0,0.0,9.0,0.0,0.0,,0.0,,
다사461461,2023,10.0,7.0,0.0,10.0,10.0,17.0,15.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,,
다사473459,2023,67.0,45.0,55.0,64.0,54.0,47.0,84.0,77.0,46.0,53.0,23.0,25.0,12.0,17.0,6.0,0.0,,
다사487446,2023,0.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,
다사471454,2023,11.0,16.0,14.0,8.0,8.0,10.0,10.0,0.0,6.0,7.0,8.0,8.0,0.0,0.0,,0.0,,
다사475461,2023,27.0,19.0,44.0,24.0,17.0,25.0,17.0,22.0,27.0,33.0,24.0,24.0,11.0,15.0,,0.0,,
다사489460,2023,19.0,17.0,28.0,14.0,11.0,0.0,18.0,0.0,23.0,7.0,0.0,6.0,0.0,0.0,,,,
다사478463,2023,7.0,0.0,7.0,9.0,17.0,12.0,17.0,13.0,20.0,9.0,0.0,7.0,6.0,0.0,0.0,0.0,,
다사485454,2023,20.0,16.0,17.0,14.0,13.0,13.0,20.0,33.0,29.0,26.0,21.0,20.0,7.0,0.0,,0.0,,
다사471487,2023,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,,,,
다사480463,2023,,,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
다사474457,2023,35.0,24.0,29.0,35.0,26.0,26.0,40.0,46.0,36.0,32.0,11.0,15.0,6.0,13.0,,0.0,,
다사467446,2023,,,,,,,,,,,,0.0,,,,,,
다사463466,2023,30.0,31.0,78.0,103.0,93.0,89.0,57.0,55.0,36.0,61.0,26.0,28.0,10.0,26.0,0.0,0.0,,
다사482459,2023,14.0,24.0,9.0,17.0,10.0,7.0,18.0,18.0,7.0,10.0,7.0,15.0,0.0,7.0,0.0,0.0,,
다사500472,2023,14.0,14.0,13.0,9.0,11.0,13.0,17.0,23.0,20.0,19.0,16.0,17.0,13.0,14.0,0.0,0.0,,
다사491480,2023,0.0,0.0,,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,,,0.0,,,,
다사462489,2023,,,,,0.0,,,,0.0,,,,,,,,,
다사473468,2023,9.0,12.0,7.0,8.0,7.0,0.0,0.0,,6.0,0.0,0.0,,,,,,,
다사476437,2023,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,,,,
다사481461,2023,16.0,6.0,15.0,18.0,11.0,14.0,23.0,14.0,33.0,30.0,19.0,22.0,0.0,12.0,,0.0,,
다사462460,2023,20.0,19.0,36.0,38.0,52.0,50.0,29.0,30.0,26.0,51.0,30.0,40.0,14.0,18.0,0.0,0.0,,
다사469487,2023,11.0,24.0,35.0,32.0,15.0,11.0,9.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,,,,
다사468454,2023,26.0,27.0,43.0,32.0,29.0,22.0,37.0,31.0,27.0,29.0,13.0,15.0,0.0,8.0,0.0,0.0,,
다사470467,2023,,,,,,,0.0,,0.0,,0.0,,,,,,,
다사469465,2023,7.0,9.0,11.0,19.0,29.0,20.0,17.0,12.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,
다사478466,2023,,0.0,0.0,0.0,9.0,,12.0,0.0,21.0,0.0,8.0,0.0,,0.0,,,,
다사474465,2023,,0.0,0.0,,,,6.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
다사461492,2023,29.0,76.0,72.0,63.0,22.0,18.0,7.0,6.0,0.0,6.0,,0.0,,0.0,,,,
다사475446,2023,,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
다사487452,2023,0.0,,0.0,,,,,,,,,,,,,,,
다사467455,2023,21.0,17.0,41.0,41.0,40.0,28.0,41.0,33.0,44.0,46.0,27.0,18.0,11.0,14.0,,0.0,,
다사469482,2023,16.0,71.0,56.0,111.0,19.0,22.0,8.0,11.0,0.0,0.0,,0.0,,,,,,
다사471449,2023,21.0,25.0,20.0,16.0,33.0,21.0,41.0,32.0,40.0,40.0,30.0,32.0,10.0,18.0,0.0,0.0,,
다사464473,2023,13.0,27.0,30.0,32.0,28.0,24.0,34.0,32.0,42.0,41.0,14.0,9.0,6.0,12.0,,0.0,,
다사488459,2023,22.0,17.0,41.0,31.0,41.0,25.0,56.0,39.0,38.0,41.0,14.0,24.0,10.0,22.0,,0.0,,
다사488457,2023,25.0,33.0,36.0,27.0,26.0,26.0,30.0,30.0,33.0,34.0,19.0,19.0,7.0,9.0,0.0,0.0,,0.0
다사481457,2023,25.0,25.0,35.0,30.0,29.0,19.0,31.0,33.0,45.0,45.0,24.0,28.0,13.0,15.0,0.0,0.0,,
다사473450,2023,20.0,16.0,22.0,30.0,36.0,41.0,34.0,29.0,22.0,19.0,0.0,6.0,0.0,0.0,,,,
다사464475,2023,26.0,53.0,43.0,40.0,13.0,14.0,19.0,19.0,20.0,14.0,10.0,10.0,0.0,9.0,0.0,0.0,,
다사470463,2023,,,0.0,,,,0.0,,,0.0,,,,,,,,
다사487470,2023,15.0,9.0,7.0,7.0,0.0,6.0,18.0,18.0,14.0,17.0,6.0,9.0,9.0,7.0,0.0,,,
다사467486,2023,0.0,0.0,6.0,11.0,0.0,0.0,6.0,0.0,9.0,,0.0,,,0.0,,,,
다사465482,2023,35.0,38.0,31.0,39.0,46.0,57.0,54.0,53.0,39.0,35.0,22.0,28.0,7.0,15.0,0.0,0.0,,
다사477449,2023,0.0,12.0,17.0,32.0,22.0,19.0,18.0,18.0,15.0,18.0,7.0,9.0,0.0,0.0,,0.0,,
다사473465,2023,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,,0.0,,,,
다사473442,2023,26.0,27.0,30.0,20.0,27.0,29.0,45.0,41.0,42.0,39.0,28.0,40.0,19.0,16.0,,6.0,,
다사464443,2023,22.0,17.0,29.0,17.0,20.0,17.0,31.0,43.0,40.0,48.0,22.0,25.0,9.0,12.0,0.0,0.0,,
다사458466,2023,19.0,15.0,20.0,25.0,47.0,46.0,29.0,27.0,14.0,14.0,0.0,7.0,0.0,0.0,,,,
다사473452,2023,16.0,15.0,19.0,9.0,15.0,15.0,19.0,22.0,33.0,28.0,12.0,16.0,7.0,12.0,0.0,,,
다사469471,2023,40.0,78.0,85.0,83.0,22.0,23.0,17.0,24.0,12.0,16.0,8.0,6.0,0.0,0.0,,0.0,,
다사465449,2023,52.0,55.0,60.0,55.0,55.0,62.0,59.0,83.0,74.0,85.0,27.0,29.0,15.0,18.0,0.0,0.0,,
다사476436,2023,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,
다사469461,2023,,,,,,,0.0,,,,,,,,,,,
다사456464,2023,13.0,14.0,18.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
다사458471,2023,19.0,19.0,69.0,71.0,48.0,43.0,39.0,44.0,33.0,42.0,25.0,27.0,0.0,10.0,0.0,6.0,,
다사471440,2023,17.0,17.0,23.0,18.0,21.0,18.0,24.0,26.0,24.0,27.0,26.0,35.0,7.0,9.0,0.0,,,
다사460467,2023,10.0,15.0,8.0,10.0,25.0,30.0,26.0,22.0,10.0,12.0,16.0,17.0,6.0,6.0,,0.0,,
다사474468,2023,0.0,0.0,7.0,0.0,10.0,0.0,10.0,,0.0,,0.0,,,,,,,
다사492463,2023,0.0,0.0,7.0,6.0,0.0,0.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,,,,
다사461497,2023,,,,,,,,,,,,,,,,,,
다사451468,2023,,,,,,,,,,,,,,,,,,
다사480478,2023,,,,,,,,,,,,,,,,,,
다사466477,2023,,,,,,,,,,,,,,,,,,
다사491465,2023,,,,,,,,,,,,,,,,,,
다사479479,2023,,,,,,,,,,,,,,,,,,
다사467461,2023,,,,,,,,,,,,,,,,,,
다사471491,2023,,,,,,,,,,,,,,,,,,
다사468499,2023,,,,,,,,,,,,,,,,,,
다사458504,2023,,,,,,,,,,,,,,,,,,
다사460489,2023,,,,,,,,,,,,,,,,,,
다사488471,2023,,,,,,,,,,,,,,,,,,
다사477483,2023,,,,,,,,,,,,,,,,,,
다사455496,2023,,,,,,,,,,,,,,,,,,
다사493464,2023,,,,,,,,,,,,,,,,,,
다사469439,2023,,,,,,,,,,,,,,,,,,
다사486477,2023,,,,,,,,,,,,,,,,,,
다사469488,2023,,,,,,,,,,,,,,,,,,
다사495478,2023,,,,,,,,,,,,,,,,,,
다사506470,2023,,,,,,,,,,,,,,,,,,
다사459460,2023,,,,,,,,,,,,,,,,,,
다사485455,2023,,,,,,,,,,,,,,,,,,
다사468497,2023,,,,,,,,,,,,,,,,,,
다사468460,2023,,,,,,,,,,,,,,,,,,
다사485465,2023,,,,,,,,,,,,,,,,,,
다사478477,2023,,,,,,,,,,,,,,,,,,
다사463483,2023,,,,,,,,,,,,,,,,,,
다사482451,2023,,,,,,,,,,,,,,,,,,
다사492489,2023,,,,,,,,,,,,,,,,,,
다사465497,2023,,,,,,,,,,,,,,,,,,
다사482483,2023,,,,,,,,,,,,,,,,,,
다사453466,2023,,,,,,,,,,,,,,,,,,
다사502475,2023,,,,,,,,,,,,,,,,,,
다사491490,2023,,,,,,,,,,,,,,,,,,
다사495488,2023,,,,,,,,,,,,,,,,,,
다사499479,2023,,,,,,,,,,,,,,,,,,
다사473486,2023,,,,,,,,,,,,,,,,,,
다사452508,2023,,,,,,,,,,,,,,,,,,
다사461477,2023,,,,,,,,,,,,,,,,,,
다사494463,2023,,,,,,,,,,,,,,,,,,
다사505483,2023,,,,,,,,,,,,,,,,,,
다사470488,2023,,,,,,,,,,,,,,,,,,
다사512465,2023,,,,,,,,,,,,,,,,,,
다사464499,2023,,,,,,,,,,,,,,,,,,
다사488466,2023,,,,,,,,,,,,,,,,,,
다사486492,2023,,,,,,,,,,,,,,,,,,
다사458462,2023,,,,,,,,,,,,,,,,,,
다사494481,2023,,,,,,,,,,,,,,,,,,
다사459502,2023,,,,,,,,,,,,,,,,,,
다사475490,2023,,,,,,,,,,,,,,,,,,
다사461502,2023,,,,,,,,,,,,,,,,,,
다사498487,2023,,,,,,,,,,,,,,,,,,
다사484484,2023,,,,,,,,,,,,,,,,,,
다사505479,2023,,,,,,,,,,,,,,,,,,
다사475463,2023,,,,,,,,,,,,,,,,,,
다사464440,2023,,,,,,,,,,,,,,,,,,
다사509467,2023,,,,,,,,,,,,,,,,,,
다사498485,2023,,,,,,,,,,,,,,,,,,
다사500488,2023,,,,,,,,,,,,,,,,,,
다사458499,2023,,,,,,,,,,,,,,,,,,
다사458492,2023,,,,,,,,,,,,,,,,,,
다사455503,2023,,,,,,,,,,,,,,,,,,
다사493482,2023,,,,,,,,,,,,,,,,,,
다사459488,2023,,,,,,,,,,,,,,,,,,
다사511473,2023,,,,,,,,,,,,,,,,,,
다사500487,2023,,,,,,,,,,,,,,,,,,
다사498465,2023,,,,,,,,,,,,,,,,,,
다사502488,2023,,,,,,,,,,,,,,,,,,
다사481483,2023,,,,,,,,,,,,,,,,,,
다사505465,2023,,,,,,,,,,,,,,,,,,
다사502477,2023,,,,,,,,,,,,,,,,,,
다사478464,2023,,,,,,,,,,,,,,,,,,
다사511481,2023,,,,,,,,,,,,,,,,,,
다사480485,2023,,,,,,,,,,,,,,,,,,
다사512467,2023,,,,,,,,,,,,,,,,,,
다사501482,2023,,,,,,,,,,,,,,,,,,
다사452504,2023,,,,,,,,,,,,,,,,,,
다사509477,2023,,,,,,,,,,,,,,,,,,
다사508468,2023,,,,,,,,,,,,,,,,,,
다사477464,2023,,,,,,,,,,,,,,,,,,
다사470494,2023,,,,,,,,,,,,,,,,,,
다사483485,2023,,,,,,,,,,,,,,,,,,
다사497486,2023,,,,,,,,,,,,,,,,,,
다사457479,2023,,,,,,,,,,,,,,,,,,
다사467494,2023,,,,,,,,,,,,,,,,,,
다사503474,2023,,,,,,,,,,,,,,,,,,
다사504488,2023,,,,,,,,,,,,,,,,,,
다사463446,2023,,,,,,,,,,,,,,,,,,
다사465501,2023,,,,,,,,,,,,,,,,,,
다사499476,2023,,,,,,,,,,,,,,,,,,
다사483476,2023,,,,,,,,,,,,,,,,,,
다사508470,2023,,,,,,,,,,,,,,,,,,
다사468489,2023,,,,,,,,,,,,,,,,,,
다사459479,2023,,,,,,,,,,,,,,,,,,
다사468491,2023,,,,,,,,,,,,,,,,,,
다사489467,2023,,,,,,,,,,,,,,,,,,
다사488474,2023,,,,,,,,,,,,,,,,,,
다사478483,2023,,,,,,,,,,,,,,,,,,
다사462479,2023,,,,,,,,,,,,,,,,,,
다사484468,2023,,,,,,,,,,,,,,,,,,
다사462498,2023,,,,,,,,,,,,,,,,,,
다사478485,2023,,,,,,,,,,,,,,,,,,
다사459482,2023,,,,,,,,,,,,,,,,,,
다사495485,2023,,,,,,,,,,,,,,,,,,
다사468481,2023,,,,,,,,,,,,,,,,,,
다사452502,2023,,,,,,,,,,,,,,,,,,
다사501464,2023,,,,,,,,,,,,,,,,,,
다사482486,2023,,,,,,,,,,,,,,,,,,
다사462500,2023,,,,,,,,,,,,,,,,,,
다사485443,2023,,,,,,,,,,,,,,,,,,
다사463468,2023,,,,,,,,,,,,,,,,,,
다사466468,2023,,,,,,,,,,,,,,,,,,
다사502473,2023,,,,,,,,,,,,,,,,,,
다사490475,2023,,,,,,,,,,,,,,,,,,
다사501473,2023,,,,,,,,,,,,,,,,,,
다사465454,2023,,,,,,,,,,,,,,,,,,
다사474489,2023,,,,,,,,,,,,,,,,,,
다사458506,2023,,,,,,,,,,,,,,,,,,
다사512477,2023,,,,,,,,,,,,,,,,,,
다사493478,2023,,,,,,,,,,,,,,,,,,
다사464441,2023,,,,,,,,,,,,,,,,,,
다사508466,2023,,,,,,,,,,,,,,,,,,
다사497483,2023,,,,,,,,,,,,,,,,,,
다사500482,2023,,,,,,,,,,,,,,,,,,
다사470490,2023,,,,,,,,,,,,,,,,,,
다사466433,2023,,,,,,,,,,,,,,,,,,
다사480486,2023,,,,,,,,,,,,,,,,,,
다사463480,2023,,,,,,,,,,,,,,,,,,
다사479476,2023,,,,,,,,,,,,,,,,,,
다사450505,2023,,,,,,,,,,,,,,,,,,
다사458493,2023,,,,,,,,,,,,,,,,,,
다사457494,2023,,,,,,,,,,,,,,,,,,
다사479475,2023,,,,,,,,,,,,,,,,,,
다사454477,2023,,,,,,,,,,,,,,,,,,
다사477486,2023,,,,,,,,,,,,,,,,,,
다사456498,2023,,,,,,,,,,,,,,,,,,
다사486474,2023,,,,,,,,,,,,,,,,,,
다사477492,2023,,,,,,,,,,,,,,,,,,
다사496490,2023,,,,,,,,,,,,,,,,,,
다사492475,2023,,,,,,,,,,,,,,,,,,
다사485488,2023,,,,,,,,,,,,,,,,,,
다사487481,2023,,,,,,,,,,,,,,,,,,
다사492487,2023,,,,,,,,,,,,,,,,,,
다사497489,2023,,,,,,,,,,,,,,,,,,
다사483451,2023,,,,,,,,,,,,,,,,,,
다사494476,2023,,,,,,,,,,,,,,,,,,
다사464478,2023,,,,,,,,,,,,,,,,,,
다사501488,2023,,,,,,,,,,,,,,,,,,
다사457503,2023,,,,,,,,,,,,,,,,,,
다사465495,2023,,,,,,,,,,,,,,,,,,
다사463502,2023,,,,,,,,,,,,,,,,,,
다사463479,2023,,,,,,,,,,,,,,,,,,
다사496477,2023,,,,,,,,,,,,,,,,,,
다사498477,2023,,,,,,,,,,,,,,,,,,
다사453502,2023,,,,,,,,,,,,,,,,,,
다사459492,2023,,,,,,,,,,,,,,,,,,
다사490466,2023,,,,,,,,,,,,,,,,,,
다사510468,2023,,,,,,,,,,,,,,,,,,
다사460459,2023,,,,,,,,,,,,,,,,,,
다사451472,2023,,,,,,,,,,,,,,,,,,
다사460485,2023,,,,,,,,,,,,,,,,,,
다사500491,2023,,,,,,,,,,,,,,,,,,
다사459490,2023,,,,,,,,,,,,,,,,,,
다사476482,2023,,,,,,,,,,,,,,,,,,
다사483454,2023,,,,,,,,,,,,,,,,,,
다사469460,2023,,,,,,,,,,,,,,,,,,
다사454502,2023,,,,,,,,,,,,,,,,,,
다사496479,2023,,,,,,,,,,,,,,,,,,
다사472465,2023,,,,,,,,,,,,,,,,,,
다사499480,2023,,,,,,,,,,,,,,,,,,
다사493488,2023,,,,,,,,,,,,,,,,,,
다사508477,2023,,,,,,,,,,,,,,,,,,
다사499491,2023,,,,,,,,,,,,,,,,,,
다사482482,2023,,,,,,,,,,,,,,,,,,
다사451467,2023,,,,,,,,,,,,,,,,,,
다사453468,2023,,,,,,,,,,,,,,,,,,
다사470492,2023,,,,,,,,,,,,,,,,,,
다사453475,2023,,,,,,,,,,,,,,,,,,
다사480479,2023,,,,,,,,,,,,,,,,,,
다사466496,2023,,,,,,,,,,,,,,,,,,
다사495466,2023,,,,,,,,,,,,,,,,,,
다사495463,2023,,,,,,,,,,,,,,,,,,
다사461498,2023,,,,,,,,,,,,,,,,,,
다사471492,2023,,,,,,,,,,,,,,,,,,
다사468496,2023,,,,,,,,,,,,,,,,,,
다사477481,2023,,,,,,,,,,,,,,,,,,
다사487444,2023,,,,,,,,,,,,,,,,,,
다사453508,2023,,,,,,,,,,,,,,,,,,
다사465466,2023,,,,,,,,,,,,,,,,,,
다사472492,2023,,,,,,,,,,,,,,,,,,
다사479463,2023,,,,,,,,,,,,,,,,,,
다사456497,2023,,,,,,,,,,,,,,,,,,
다사457504,2023,,,,,,,,,,,,,,,,,,
다사459480,2023,,,,,,,,,,,,,,,,,,
다사455497,2023,,,,,,,,,,,,,,,,,,
다사505487,2023,,,,,,,,,,,,,,,,,,
다사497465,2023,,,,,,,,,,,,,,,,,,
다사450475,2023,,,,,,,,,,,,,,,,,,
다사482479,2023,,,,,,,,,,,,,,,,,,
다사505474,2023,,,,,,,,,,,,,,,,,,
다사496483,2023,,,,,,,,,,,,,,,,,,
다사462502,2023,,,,,,,,,,,,,,,,,,
다사481488,2023,,,,,,,,,,,,,,,,,,
다사460488,2023,,,,,,,,,,,,,,,,,,
다사463448,2023,,,,,,,,,,,,,,,,,,
다사500475,2023,,,,,,,,,,,,,,,,,,
다사458480,2023,,,,,,,,,,,,,,,,,,
다사479484,2023,,,,,,,,,,,,,,,,,,
