gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사497470,2023,,0.0,,,,,,,,,,,,,,,,
다사474433,2023,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,
다사463482,2023,49.0,31.0,53.0,62.0,48.0,54.0,65.0,66.0,37.0,30.0,8.0,23.0,8.0,8.0,0.0,0.0,,
다사482444,2023,30.0,33.0,27.0,33.0,26.0,27.0,21.0,34.0,33.0,34.0,13.0,13.0,6.0,12.0,0.0,,,
다사473432,2023,0.0,0.0,13.0,7.0,10.0,0.0,8.0,6.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,,
다사475460,2023,13.0,13.0,23.0,11.0,14.0,11.0,19.0,19.0,15.0,17.0,9.0,12.0,0.0,7.0,0.0,0.0,,
다사473457,2023,8.0,11.0,13.0,10.0,11.0,7.0,15.0,12.0,17.0,23.0,13.0,11.0,10.0,7.0,0.0,0.0,,
다사465473,2023,29.0,38.0,48.0,62.0,39.0,29.0,52.0,76.0,63.0,64.0,26.0,28.0,15.0,15.0,0.0,0.0,,
다사485447,2023,28.0,41.0,41.0,32.0,17.0,21.0,33.0,22.0,25.0,24.0,17.0,27.0,7.0,9.0,0.0,0.0,,0.0
다사498467,2023,39.0,40.0,79.0,102.0,69.0,67.0,60.0,81.0,56.0,62.0,26.0,34.0,8.0,32.0,0.0,6.0,,
다사474447,2023,0.0,8.0,8.0,0.0,0.0,0.0,7.0,8.0,8.0,9.0,6.0,0.0,0.0,7.0,,0.0,,
다사461471,2023,10.0,14.0,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,
다사464449,2023,66.0,67.0,82.0,77.0,57.0,69.0,79.0,79.0,102.0,106.0,44.0,29.0,11.0,25.0,0.0,0.0,,0.0
다사473443,2023,7.0,8.0,12.0,9.0,15.0,15.0,17.0,16.0,20.0,21.0,21.0,22.0,8.0,10.0,0.0,0.0,,
다사470461,2023,,,,,,,,,0.0,,,,,,,,,
다사468477,2023,19.0,34.0,24.0,37.0,32.0,36.0,26.0,32.0,33.0,39.0,23.0,22.0,0.0,9.0,0.0,0.0,,0.0
다사471468,2023,0.0,,8.0,0.0,8.0,0.0,15.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,,,,
다사497467,2023,22.0,24.0,46.0,82.0,81.0,83.0,17.0,17.0,8.0,10.0,0.0,0.0,0.0,0.0,,,,
