adm_cd,adm_nm,std_ymd,m_pop,fm_pop
1156054000,서울특별시 영등포구 여의동,202305,"15,293","17,299"
1156055000,서울특별시 영등포구 당산제1동,202305,"10,103","10,734"
1156056000,서울특별시 영등포구 당산제2동,202305,"17,158","19,608"
1156058500,서울특별시 영등포구 도림동,202305,"8,944","8,766"
1156060500,서울특별시 영등포구 문래동,202305,"15,687","16,506"
1156061000,서울특별시 영등포구 양평제1동,202305,"8,851","9,435"
1156062000,서울특별시 영등포구 양평제2동,202305,"10,938","11,561"
1156063000,서울특별시 영등포구 신길제1동,202305,"9,801","9,613"
1156065000,서울특별시 영등포구 신길제3동,202305,"8,005","8,261"
1156066000,서울특별시 영등포구 신길제4동,202305,"6,113","6,228"
1156067000,서울특별시 영등포구 신길제5동,202305,"4,916","5,235"
1156068000,서울특별시 영등포구 신길제6동,202305,"8,999","9,447"
1156069000,서울특별시 영등포구 신길제7동,202305,"9,874","9,918"
1156070000,서울특별시 영등포구 대림제1동,202305,"6,973","7,031"
1156071000,서울특별시 영등포구 대림제2동,202305,"5,867","6,077"
1156072000,서울특별시 영등포구 대림제3동,202305,"10,905","10,913"
1156000000,서울특별시 서울특별시 영등포구 ,202306,"184,615","191,524"
1156051500,서울특별시 영등포구 영등포본동,202306,"10,755","10,188"
1156053500,서울특별시 영등포구 영등포동,202306,"15,633","14,763"
1156054000,서울특별시 영등포구 여의동,202306,"15,290","17,305"
1156055000,서울특별시 영등포구 당산제1동,202306,"10,126","10,793"
1156056000,서울특별시 영등포구 당산제2동,202306,"17,157","19,613"
1156058500,서울특별시 영등포구 도림동,202306,"8,951","8,758"
1156060500,서울특별시 영등포구 문래동,202306,"15,668","16,491"
1156061000,서울특별시 영등포구 양평제1동,202306,"8,815","9,422"
1156062000,서울특별시 영등포구 양평제2동,202306,"10,923","11,573"
1156063000,서울특별시 영등포구 신길제1동,202306,"9,795","9,603"
1156065000,서울특별시 영등포구 신길제3동,202306,"7,996","8,255"
1156066000,서울특별시 영등포구 신길제4동,202306,"6,119","6,227"
1156067000,서울특별시 영등포구 신길제5동,202306,"4,889","5,223"
1156068000,서울특별시 영등포구 신길제6동,202306,"8,890","9,345"
1156069000,서울특별시 영등포구 신길제7동,202306,"9,893","9,955"
1156070000,서울특별시 영등포구 대림제1동,202306,"6,971","7,022"
1156071000,서울특별시 영등포구 대림제2동,202306,"5,870","6,088"
1156072000,서울특별시 영등포구 대림제3동,202306,"10,874","10,900"
1156000000,서울특별시 서울특별시 영등포구 ,202307,"184,522","191,475"
1156051500,서울특별시 영등포구 영등포본동,202307,"10,732","10,176"
1156053500,서울특별시 영등포구 영등포동,202307,"15,625","14,802"
1156054000,서울특별시 영등포구 여의동,202307,"15,325","17,349"
1156055000,서울특별시 영등포구 당산제1동,202307,"10,131","10,794"
1156056000,서울특별시 영등포구 당산제2동,202307,"17,146","19,633"
1156058500,서울특별시 영등포구 도림동,202307,"8,967","8,745"
1156060500,서울특별시 영등포구 문래동,202307,"15,707","16,513"
1156061000,서울특별시 영등포구 양평제1동,202307,"8,782","9,413"
1156062000,서울특별시 영등포구 양평제2동,202307,"10,937","11,583"
1156063000,서울특별시 영등포구 신길제1동,202307,"9,803","9,594"
1156065000,서울특별시 영등포구 신길제3동,202307,"7,996","8,233"
1156066000,서울특별시 영등포구 신길제4동,202307,"6,123","6,231"
1156067000,서울특별시 영등포구 신길제5동,202307,"4,880","5,212"
1156068000,서울특별시 영등포구 신길제6동,202307,"8,783","9,266"
1156069000,서울특별시 영등포구 신길제7동,202307,"9,902","9,983"
1156070000,서울특별시 영등포구 대림제1동,202307,"6,958","7,003"
1156071000,서울특별시 영등포구 대림제2동,202307,"5,871","6,077"
1156072000,서울특별시 영등포구 대림제3동,202307,"10,854","10,868"
1156000000,서울특별시 서울특별시 영등포구 ,202308,"184,189","191,337"
1156051500,서울특별시 영등포구 영등포본동,202308,"10,743","10,208"
1156053500,서울특별시 영등포구 영등포동,202308,"15,632","14,786"
1156054000,서울특별시 영등포구 여의동,202308,"15,357","17,363"
