bplc_nm,lcpmt_dt,lon,lat
가로판매대,20011022,126.9260273,37.52406555
영등포세무서구내매점,20011102,126.8994703,37.51362157
가로판매점,20011107,126.9373222,37.52135633
씨유 대림중앙점,20011109,126.8977353,37.4992788
가로판매점,20011127,126.92488,37.52518143
현대매점,20011211,126.8943985,37.52235041
대황슈퍼,20011227,126.9125362,37.5127603
(주)코리아세븐 대림2호점,20011229,126.8960402,37.50303837
보광슈퍼,20011229,126.8984321,37.49264458
가로판매점,20011229,126.9016423,37.53446485
엔테코,19990823,126.8972864,37.53214467
(주)코리아세븐 신길점,20020107,126.9019182,37.50634586
동양마트양평한신점,20020109,126.8876565,37.52155734
홈플러스(주)영등포점,20020125,126.8958845,37.51823752
(주)코리아세븐 영등포6호점,20020308,126.9092809,37.51882138
신풍슈퍼,20020308,126.9061833,37.50705216
국민은행휴게실,20020308,126.9278944,37.52086577
씨유 영등포중앙점,20020323,126.9099215,37.51911562
대현마트,20020328,126.8832715,37.51822721
세븐일레븐당산3호점,20020404,126.8991344,37.5210971
우리마트,20020419,126.9184309,37.49931668
럭키슈퍼,20020501,126.9142548,37.51359604
충남슈퍼,20020518,126.9123158,37.51392062
버스판매소,20020601,126.9058356,37.5177083
명지공인중개사,20020619,126.8929157,37.51550664
영지마트,20020906,126.9135839,37.51618489
신풍마트,20021223,126.9096124,37.50612872
훼미리마트당산래미안,20021226,126.9081391,37.52887549
가로판매점,20030108,126.8964955,37.51745932
신성슈퍼,20030108,126.8996889,37.49871131
복권방,20030113,126.9000936,37.50890589
(주)오피스디포코리아 여의도점,20030128,126.921379,37.52869065
동남극장구내매점,20030219,126.9056577,37.520599
가로판매점,20030320,126.8959233,37.49253108
영등포농협 하나로마트,20030502,126.9127208,37.51095089
왕대박,20030530,126.9236211,37.51278061
효성슈퍼마켓,20030604,126.9373222,37.52135633
씨유대림사랑점,20030625,126.8982535,37.50173447
예산상회,20030628,126.8992852,37.52315288
드림마트,20030708,126.9101944,37.51200889
영신슈퍼,20030708,126.9063855,37.52033542
복권방,20030718,126.8971605,37.50299476
코끼리유통,20030726,126.9069337,37.50600487
(주)아워홈국민은행여의도점,20030731,126.9278944,37.52086577
미니스톱 여의도점,20030805,126.9203916,37.52969081
현대할인마트,20030906,126.8948603,37.52402166
(주)한운상사구내매점,20031010,126.9249218,37.52383926
GS25 당산새말점,20031107,126.8976448,37.52161483
세븐일레븐하나텔점,20031220,126.8955251,37.5080704
두산위브부동산,20040109,126.9124911,37.51509359
GS25여의에클라트점,20040115,126.9192694,37.52983373
서울슈퍼,20040120,126.9310534,37.52622855
해성식품,20040220,126.8922038,37.54226089
럭키 7마트,20040227,126.8989866,37.52653802
양지식품,20040309,126.9223712,37.51475153
롯데쇼핑(주) 롯데슈퍼여의점,20040331,126.9324805,37.52214169
현대마트,20040402,126.8967812,37.50494649
화협매점,20040417,126.9259977,37.52138918
씨유 오목교코업점,20040506,126.8830694,37.52572196
씨유문래페르마타점,20040603,126.8837845,37.51720486
유진식품,20040603,126.9045163,37.49804429
영등포농협당산역지점,20040607,126.9054218,37.53056234
LG25문래센터,20040610,126.8968915,37.51206576
백조사,20040629,126.8994193,37.50089834
가로판매점,20040713,126.9345262,37.52466504
훼미리마트당산래미안점,20040803,126.9081391,37.52887549
청춘열차,20040827,126.8962206,37.4923086
정훈슈퍼,20040902,126.9040447,37.50091426
한국예탁결제원 신용협동조합,20040907,126.9285988,37.52144882
복 드림,20040917,126.8944936,37.53738967
유통매점,20041001,126.8943985,37.52235041
황해분식,20041006,126.8885321,37.51590703
한양문구식품,20041013,126.9291055,37.52240851
현대할인마트,20041206,126.8948603,37.52402166
종합슈퍼,20041207,126.9111596,37.499277
국민간식333(당산점),20040318,126.902682,37.5337807
GS25보라매로점,20050111,126.9188714,37.50014066
예당상회,20050125,126.9007229,37.51613812
가로판매점,20050203,126.9065044,37.51761537
동화식품,20050205,126.9268798,37.52378496
한국철도유통(영1),20050217,126.9076639,37.51567082
한국철도유통(영2),20050217,126.9076639,37.51567082
한국철도유통(영3),20050217,126.9076639,37.51567082
한국철도유통(영4),20050217,126.9076639,37.51567082
한국철도유통(영5),20050217,126.9076639,37.51567082
한국철도유통(영6),20050217,126.9076639,37.51567082
한국철도유통(영7),20050217,126.9076639,37.51567082
한국철도유통(영8),20050217,126.9076639,37.51567082
한국철도유통(영9),20050217,126.9076639,37.51567082
한국철도유통(영10),20050217,126.9076639,37.51567082
한국철도유통(영11),20050217,126.9076639,37.51567082
한국철도유통(영12),20050217,126.9076639,37.51567082
한국철도유통(대1),20050217,126.9263054,37.51332762
한국철도유통(대2),20050217,126.9263054,37.51332762
한국철도유통(대3),20050217,126.9263054,37.51332762
다복상회,20050219,126.90842,37.51812864
진흥매점,20050224,126.9226126,37.52944976
유원쌀상회,20050331,126.8971666,37.53259407
알파문구,20050503,126.9108418,37.52273728
칸타빌마트,20050503,126.8966599,37.49011414
IGA편의점,20050503,126.9094265,37.51814694
씨유 보라매파크점,20050722,126.9165714,37.49729934
(주)코리아세븐 영등포시장점,20050801,126.9075904,37.51916619
제주상회,20051007,126.9007424,37.52021101
gs25하이팰리스,20051028,126.8844583,37.52209487
보배마트,20051102,126.8971719,37.53608115
대방설비,20051104,126.9210886,37.5032515
웰빙농산물수퍼,20051108,126.8977247,37.49769286
한강슈퍼,20051201,126.9099918,37.52283757
만물식품,20060221,126.9114041,37.5190662
럭키할인마트,20060407,126.9062189,37.50926005
통신대슈퍼,20060412,126.9025497,37.4940975
여백할인마트,20060414,126.9269113,37.52079377
드림파크,20060511,126.9120147,37.49645558
여의캐슬마트,20060620,126.9261806,37.52047178
GS25여의파라곤,20060705,126.9210055,37.53105698
현대침구,20060810,126.9048282,37.52240242
씨유 영등포마사회점,20060925,126.9070165,37.51817875
씨유여의도점,20060925,126.9327686,37.51938709
동심까운사,20061013,126.9206838,37.51488932
GS25 여의서린,20061106,126.9292227,37.51974248
씨유여의도아이비점,20061201,126.9317954,37.52020726
알파문구,20061205,126.9248892,37.52927225
명금당,20061211,126.9006047,37.49177276
GS25영등포본점,20070125,126.9070366,37.51680034
GS25 양평역점,20070129,126.8866468,37.52632336
동경수퍼,20070202,126.8994733,37.49721357
담배가게,20070228,126.9097063,37.51835676
아시아유통,20070309,126.9015068,37.49040253
성원기계,20070323,126.9108843,37.52058418
Plus one 365,20070406,126.8904912,37.52341309
하나름마트,20070413,126.8847517,37.52443133
GS25영등포영림,20070605,126.9051673,37.52087378
컴수리콜센타,20070611,126.9048207,37.52291594
불독마트,20070628,126.9262237,37.53010433
대가할인마트,20070628,126.9041857,37.49745555
씨유 영등포메인,20070706,126.9037717,37.5203833
GS25여의서부,20070816,126.9177135,37.52632345
(주)코리아세븐비즈센터점,20070820,126.8889197,37.52563291
씨유 문래남부지원점,20070828,126.8906554,37.51613421
(주)코리아세븐s여의나루역점,20071010,126.9328627,37.52708286
제일식품,20071015,126.9093847,37.52568828
여의동공원5호점,20071018,126.9266944,37.52962204
세븐일레븐신길대신점,20071029,126.9168146,37.51179039
세븐일레븐 S영등포시장역점,20071102,126.9049591,37.52273701
웰빙마트,20071102,126.9049982,37.4960214
우리과일마트,20071115,126.8997891,37.50575842
형제수퍼,20071130,126.9018831,37.49096468
다모아복권,20071130,126.9163539,37.49982929
세븐일레븐S영등포구청역점,20071204,126.895142,37.52487127
세븐일레븐S여의도역점,20071204,126.9244866,37.52184399
원진철물,20071227,126.8958541,37.52491396
홈플러스익스프레스 신길점,20071228,126.9131552,37.4973581
대방3호점(맞이홈),20070716,126.9263054,37.51332762
영등포1호점(맞이방),20070716,126.9076639,37.51567082
영등포3호점(계단밑),20070716,126.9076639,37.51567082
영등포6호점(국철8홈),20070716,126.9076639,37.51567082
영등포4호점(국철맞이방),20070716,126.9076639,37.51567082
신길1호점(하행홈),20070716,126.9172254,37.51702922
씨에스유통(주) 롯데슈퍼 대림점,20080122,126.8960402,37.50303837
신세기상사,20080204,126.9051479,37.51677386
씨유 신풍역점,20080212,126.9100803,37.50039336
씨유 당산중앙점,20080226,126.902452,37.53558064
은혜,20080227,126.9035939,37.49693647
씨유 대림우성점,20080314,126.9020257,37.49590374
