ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2021-01-13 16:58,0:03:57,2.2,2.2,0,0,영등포동,과부하/과전류,생활서비스,일상서비스,고시원(원룸텔),126.9089487,37.51524258
2022-09-09 17:21,0:04:28,2.3,2.3,0,0,영등포동,담배꽁초,주거,공동주택,아파트,126.9097749,37.51582995
2021-01-04 13:56,0:02:35,1.0,1.0,0,0,영등포동1가,기타(전기적요인),판매/업무시설,숙박시설,호텔,126.9114694,37.517133
2023-08-16 1:32,0:02:50,2.5,2.2,0,0,신길동,음식물 조리중,생활서비스,음식점,한식,126.9255922,37.51384057
2022-12-30 23:50,0:03:05,2.3,0.5,0,0,신길동,트래킹에 의한 단락,판매/업무시설,숙박시설,호텔,126.9216062,37.51385114
2023-03-26 15:27,0:02:29,3.0,0.8,0,0,신길동,담배꽁초,기타,도로,기타도로,126.9260662,37.51436453
2023-01-31 0:51,0:02:17,2.5,1.0,0,0,신길동,담배꽁초,기타,야외,쓰레기,126.924728,37.51465975
2023-08-12 10:10,0:12:00,5.0,5.0,0,0,신길동,노후,기타,도로,기타도로,126.9248919,37.51480438
2023-05-25 19:21,0:06:20,5.0,3.1,0,0,신길동,담배꽁초,기타,야외,기타야외,126.922955,37.51565179
2022-04-10 0:18,0:04:29,7.2,3.3,0,0,신길동,담배꽁초,임야,들불,숲,126.9211997,37.51623169
2023-05-30 10:13,0:04:46,2.6,1.1,0,0,여의도동,과열/ 과부하,자동차/철도차량,자동차,버스,126.9290797,37.5166297
2021-03-04 19:13,0:03:10,5.2,2.8,0,0,여의도동,미상,자동차/철도차량,자동차,승용자동차,126.9415651,37.5168117
2022-08-26 9:17,0:04:26,3.0,0.7,0,0,신길동,미상,자동차/철도차량,자동차,승용자동차,126.9183962,37.51474132
2022-04-24 19:31,0:04:19,2.3,1.8,0,0,신길동,방화의심,기타,야외,쓰레기,126.9137533,37.51488128
2023-01-12 16:41,0:04:11,1.7,0.9,0,0,신길동,용접/ 절단/ 연마,주거,공동주택,아파트,126.9167266,37.5149447
2022-01-12 16:20,0:03:31,2.5,0.7,0,0,신길동,미확인단락,주거,단독주택,다중주택,126.9204228,37.51519897
2022-04-14 5:46,0:04:47,2.6,0.9,0,0,신길동,담배꽁초,기타,야외,쓰레기,126.9198561,37.51578938
2023-11-29 2:05,0:05:25,1.2,1.2,0,1,영등포동1가,기타,주거,기타주택,기타 주택,126.9130587,37.5171695
2021-01-29 7:37,0:03:48,1.9,1.2,0,0,신길동,가연물 근접방치,판매/업무시설,일반업무,오피스텔,126.917796,37.51738121
2022-02-03 12:51,0:04:46,2.0,2.0,0,0,신길동,오일/연료누설,자동차/철도차량,자동차,화물자동차,126.917796,37.51738121
2023-04-13 23:36,0:04:00,2.0,1.2,0,0,신길동,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.917796,37.51738121
2023-03-21 20:51,0:04:30,1.1,1.1,0,0,영등포동1가,가연물 근접방치,판매/업무시설,일반업무,오피스텔,126.9137466,37.51820607
