sgg_cd,emd_cd,bun,ji,bd_nm,bd_rgst_pk,inspct_strt,inspct_cmplt
11560,13300,783,1,대림프라자,11560-35199,20230420,20230522
11560,13300,909,2,,11560-32777,20230403,20230522
11560,13300,909,2,,11560-32776,20230403,20230522
11560,13300,912,46,,11560-35295,20210228,20211117
11560,13300,919,2,한림대부속 강남성심병원별관,11560-32936,20231123,20240105
11560,13300,919,2,한림대부속 강남성심병원별관,11560-32936,20201204,20201218
11560,13300,948,1,강남성심병원,11560-33145,20210621,20210907
11560,13300,948,1,강남성심병원,11560-33146,20210621,20210907
11560,13300,978,13,대림성모병원,11560-33312,20220506,20220630
11560,13300,1052,40,위너빌,11560-35367,20230412,20230426
11560,13300,1101,1,유탑유블레스,11560-100203074,20231010,20231024
11560,13300,1101,1,유탑유블레스,11560-100203074,20201106,20201221
